source,target,weight
CD53,PTPRC,0.9541983140154568
GUCY1A3,C1R,0.90167237401225
CD37,ITGAL,0.9027594801020242
FPR3,ITGB2,0.9310211293894232
EVC,PNMAL2,0.9016901117510054
ARHGAP9,ARHGAP30,0.9160826895601952
C3AR1,MS4A6A,0.930662801251426
CLIP3,BOC,0.9177270610688816
DOCK10,HCLS1,0.9348973539896328
C1QC,VSIG4,0.9093883270613038
RHOJ,FBXL7,0.9027883343504758
C1S,COL8A2,0.9008950553356968
MNDA,FCER1G,0.9035792904110259
LOXL2,COL5A2,0.9151942309359922
FYB,SLA,0.9092918311330126
FERMT2,SDC2,0.9194688368919955
IL10RA,HCLS1,0.9419744213108896
SPI1,CMKLR1,0.9126664867842846
HTRA3,ISLR,0.9328372482872884
PEG3,BNC2,0.9023439949843473
TCF4,MCC,0.9088170628611698
CD300A,CD53,0.9074255685238206
EHD2,KIAA1462,0.9043600137488841
CERCAM,AEBP1,0.9015805186085626
FPR3,LAPTM5,0.9182651322938952
LAPTM5,SIRPB2,0.9144610479921986
DZIP1,PDGFRB,0.9039510757965684
LILRB4,HK3,0.9205535890770631
AEBP1,COL8A2,0.9214478077720336
P4HA3,MXRA8,0.9074608793608072
FRMD6,VIM,0.9108658550131092
LILRB1,SLAMF8,0.9250677820303348
CD14,LAPTM5,0.9092288075303055
LOC399959,NAP1L3,0.9076417698798064
MS4A4A,FCGR3A,0.9188622579332564
PDCD1LG2,SIGLEC7,0.9100025894481566
LILRB2,LILRB1,0.9220832339190652
FBXL7,C14orf132,0.9064610287300588
CD86,CYBB,0.9296877781547817
COL6A3,GLI3,0.9118562463616284
MRC2,COL6A1,0.9134630174055882
MRVI1,MRGPRF,0.910943008013882
FBN1,GPR176,0.9043794293798432
FBN1,MRC2,0.9360269442330034
MSR1,C3AR1,0.9183003896678548
MPDZ,DDR2,0.9236061780460464
AEBP1,CCDC80,0.9226627619947376
SH2D1A,CD3D,0.9011125853618956
SLA,ITGB2,0.9171436400133152
LST1,HCK,0.9049994794246248
LCP2,LILRB1,0.9160076114366732
LAPTM5,MNDA,0.9024376103093704
UBASH3A,CD3E,0.9177967239244326
CD53,LSP1,0.9181767017864692
EVC,SERPING1,0.9023673224399829
HAVCR2,AIF1,0.9044984560663344
STX11,LAPTM5,0.9069576464057256
FCGR3A,C1QB,0.9056034003469412
CYTH4,LILRB1,0.9419056814631778
CERCAM,SPARC,0.927946476084132
HCLS1,DOK2,0.9179542998749742
SYNE1,ATP8B2,0.9086279250882974
CCR5,APBB1IP,0.9119685692359744
EMILIN1,SYDE1,0.9478940193122484
ITGB2,LILRB1,0.9253435525076752
MSRB3,MYL9,0.9150982419301636
CLEC7A,SRGN,0.9168975668282012
HCK,CLEC7A,0.9399664431378612
SASH3,NCKAP1L,0.9163417266107884
ITGA11,COL5A1,0.904226355277
CD3E,IL2RB,0.9005345144114372
SIRPB2,SLAMF8,0.9147838756769786
DKK3,FSTL1,0.9123618858345822
OLFML1,TMEM119,0.9004550706666391
COL1A2,COL8A1,0.9110385698033716
THY1,EFEMP2,0.9537514317086604
DOK2,MS4A6A,0.9003578496073598
